exp_id,instancia,id_config,semilla,generacion,evaluaciones,best_fitness,media_fitness,best_lcoh,factible_best
E03_PMPC,small,PM=0.05_PC=0.6,101,0,40,5304442.090786866,116246743.32270737,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,1,80,5304442.090786866,64031963.340754375,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,2,120,5304442.090786866,35558967.758469656,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,3,160,5304442.090786866,12525617.108369911,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,4,200,5304442.090786866,5334682.114209175,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,5,240,5304442.090786866,5304442.090786866,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,6,280,5304442.090786866,5304442.090786866,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,7,320,5304442.090786866,5304442.090786866,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,8,360,5304442.090786866,5304442.090786866,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,9,400,5304345.046325619,5304439.6646753345,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,10,440,5304345.046325619,5304429.96022921,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,11,480,5304345.046325619,5304425.108006148,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,12,520,5304345.046325619,5304405.699113899,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,13,560,5304345.046325619,5304362.029106338,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,14,600,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,15,640,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,16,680,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,17,720,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,18,760,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,19,800,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,20,840,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,21,880,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,22,920,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,23,960,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,24,1000,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,25,1040,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,26,1080,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,27,1120,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,28,1160,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,29,1200,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,30,1240,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,31,1280,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,32,1320,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,33,1360,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,34,1400,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,35,1440,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,36,1480,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,37,1520,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,38,1560,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,39,1600,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,40,1640,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,41,1680,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,42,1720,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,43,1760,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,44,1800,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,45,1840,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,46,1880,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,47,1920,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,48,1960,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,49,2000,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,50,2040,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,51,2080,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,52,2120,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,53,2160,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,54,2200,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,55,2240,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,56,2280,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,57,2320,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,58,2360,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,59,2400,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,60,2440,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,61,2480,5304345.046325619,5304345.046325619,,False
E03_PMPC,small,PM=0.05_PC=0.6,101,62,2520,5304345.046325619,5304345.046325619,,False
